273, 0, 2, 0.125800
1889, 0, 5, 0.018057
530, 0, 2, 0.125800
546, 0, 2, 0.125800
802, 0, 2, 0.125800
818, 0, 2, 0.125800
1074, 0, 2, 0.125800
1090, 0, 2, 0.125800
1346, 0, 2, 0.125800
1362, 0, 2, 0.125800
1618, 0, 2, 0.125800
1890, 0, 5, 0.018057
1075, 0, 1, 0.756878
1891, 0, 5, 0.018057
1092, 0, 1, 0.756878
1892, 0, 5, 0.018057
2164, 0, 3, 0.081190
1365, 0, 1, 0.756878
1909, 0, 5, 0.018057
1382, 0, 1, 0.756878
1638, 0, 1, 0.756878
1910, 0, 5, 0.018057
2182, 0, 3, 0.081190
2966, 0, 4, 0.018074
1639, 0, 1, 0.756878
1911, 0, 5, 0.018057
2439, 0, 3, 0.081190
3223, 0, 4, 0.018074
1912, 0, 5, 0.018057
2168, 0, 1, 0.756878
2184, 0, 1, 0.756878
2440, 0, 1, 0.756878
2712, 0, 1, 0.756878
3240, 0, 4, 0.018074
2457, 0, 3, 0.081190
3241, 0, 4, 0.018074
2730, 0, 3, 0.081190
3258, 0, 4, 0.018074
2731, 0, 3, 0.081190
3259, 0, 4, 0.018074
3275, 0, 4, 0.018074
3004, 0, 3, 0.081190
3276, 0, 4, 0.018074
272, 1, 26, 0.002026
273, 1, 26, 0.002026
289, 1, 15, 0.014036
561, 1, 15, 0.014036
274, 1, 26, 0.002026
530, 1, 17, 0.012063
290, 1, 14, 0.015027
306, 1, 4, 0.063093
562, 1, 15, 0.014036
818, 1, 22, 0.003647
578, 1, 15, 0.014036
850, 1, 15, 0.014036
291, 1, 13, 0.015974
547, 1, 17, 0.012063
307, 1, 4, 0.063093
819, 1, 22, 0.003647
579, 1, 11, 0.019212
835, 1, 7, 0.038332
595, 1, 11, 0.019212
851, 1, 15, 0.014036
867, 1, 20, 0.010078
883, 1, 20, 0.010078
1139, 1, 20, 0.010078
276, 1, 26, 0.002026
548, 1, 22, 0.003647
804, 1, 17, 0.012063
564, 1, 13, 0.015974
820, 1, 22, 0.003647
580, 1, 11, 0.019212
836, 1, 12, 0.017401
1092, 1, 19, 0.010127
596, 1, 11, 0.019212
852, 1, 19, 0.010127
868, 1, 19, 0.010127
1124, 1, 20, 0.010078
1140, 1, 20, 0.010078
549, 1, 22, 0.003647
805, 1, 14, 0.015027
565, 1, 13, 0.015974
821, 1, 19, 0.010127
837, 1, 12, 0.017401
597, 1, 11, 0.019212
853, 1, 7, 0.038332
1109, 1, 9, 0.020941
1365, 1, 9, 0.020941
869, 1, 4, 0.063093
1125, 1, 20, 0.010078
1381, 1, 5, 0.041458
1637, 1, 5, 0.041458
1909, 1, 6, 0.040791
278, 1, 26, 0.002026
806, 1, 19, 0.010127
822, 1, 24, 0.002128
838, 1, 24, 0.002128
1094, 1, 25, 0.002091
1110, 1, 20, 0.010078
1366, 1, 18, 0.011384
870, 1, 7, 0.038332
1126, 1, 20, 0.010078
1382, 1, 18, 0.011384
1638, 1, 9, 0.020941
1654, 1, 3, 0.082020
1910, 1, 6, 0.040791
2166, 1, 2, 0.223655
1926, 1, 3, 0.082020
2182, 1, 6, 0.040791
279, 1, 27, 0.001189
295, 1, 28, 0.000989
551, 1, 27, 0.001189
567, 1, 13, 0.015974
823, 1, 25, 0.002091
839, 1, 25, 0.002091
1095, 1, 25, 0.002091
1111, 1, 20, 0.010078
1367, 1, 18, 0.011384
1127, 1, 7, 0.038332
1383, 1, 18, 0.011384
1639, 1, 5, 0.041458
1143, 1, 7, 0.038332
1399, 1, 18, 0.011384
1655, 1, 9, 0.020941
1911, 1, 16, 0.012510
2167, 1, 2, 0.223655
2183, 1, 2, 0.223655
2439, 1, 2, 0.223655
2455, 1, 2, 0.223655
2711, 1, 2, 0.223655
296, 1, 28, 0.000989
552, 1, 27, 0.001189
568, 1, 27, 0.001189
824, 1, 27, 0.001189
840, 1, 12, 0.017401
1096, 1, 24, 0.002128
1368, 1, 18, 0.011384
1640, 1, 16, 0.012510
1896, 1, 16, 0.012510
1928, 1, 1, 0.277290
2184, 1, 1, 0.277290
2200, 1, 1, 0.277290
2456, 1, 2, 0.223655
553, 1, 28, 0.000989
1081, 1, 14, 0.015027
841, 1, 12, 0.017401
1097, 1, 27, 0.001189
1353, 1, 24, 0.002128
1385, 1, 28, 0.000989
1641, 1, 16, 0.012510
2457, 1, 2, 0.223655
2729, 1, 1, 0.277290
282, 1, 22, 0.003647
554, 1, 21, 0.005446
810, 1, 28, 0.000989
570, 1, 13, 0.015974
826, 1, 28, 0.000989
1098, 1, 28, 0.000989
1354, 1, 27, 0.001189
1114, 1, 28, 0.000989
1370, 1, 28, 0.000989
1626, 1, 16, 0.012510
1386, 1, 28, 0.000989
1642, 1, 21, 0.005446
1658, 1, 28, 0.000989
1914, 1, 21, 0.005446
2186, 1, 21, 0.005446
2202, 1, 8, 0.032737
2458, 1, 21, 0.005446
2474, 1, 8, 0.032737
2730, 1, 21, 0.005446
3002, 1, 21, 0.005446
3258, 1, 8, 0.032737
3274, 1, 8, 0.032737
539, 1, 10, 0.020812
1099, 1, 20, 0.010078
1355, 1, 14, 0.015027
1627, 1, 27, 0.001189
1643, 1, 23, 0.003545
1915, 1, 8, 0.032737
3531, 1, 8, 0.032737
